full_original_html,original_row_id,marked_for_review,remarks,allen_issue,gpt_issue,labelled_html,full_error_html,List_of_names,processed_html
" If A + B + C = <img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image107754779994.png"" style=""vertical-align: middle""/> then cos 2A + cos 2B + cos 2C =<br/><br/><br/><br/>1 – 4 cos A cos B cos C<br/><br/>4 sin A sin B sin C<br/><br/>1 + 2 cos A cos B cos C<br/>1 – 4 sin A sin B sin C",4489,0,,False,False,"<div>If [EXP]A + B + C = <img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image107754779994.png"" style=""vertical-align: middle""/>[/EXP] then [EXP]cos 2A + cos 2B + cos 2C =[/EXP]<br/><br/><br/><br/>[EXP]1 – 4 cos A cos B cos C[/EXP]<br/><br/>[EXP]4 sin A sin B sin C[/EXP]<br/><br/>[EXP]1 + 2 cos A cos B cos C[/EXP]<br/>[EXP]1 – 4 sin A sin B sin C[/EXP]</div>",,"[""cos""]","<div>If [EXP]A + B + C = <img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image107754779994.png"" style=""vertical-align: middle""/>[/EXP] then [EXP]cos 2A + cos 2B + cos 2C =[/EXP]<br/><br/><br/><br/>[EXP]1 – 4 cos A cos B cos C[/EXP]<br/><br/>[EXP]4 sin A sin B sin C[/EXP]<br/><br/>[EXP]1 + 2 cos A cos B cos C[/EXP]<br/>[EXP]1 – 4 sin A sin B sin C[/EXP]</div>"
"<div style=""text-align:justify"">Inside a hollow uniform sphere of inner radius R a uniform rod of length <img alt=""R\sqrt 2 "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215001890322702.png""/> is released from the state of rest as shown. The mass of the rod is same as that of the sphere. Assume friction to be absent everywhere. Horizontal displacement of sphere with respect to earth in the time in which the rod becomes horizontal, is :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510221525phpkR83xVimage.png"" style=""width:200px""/></div>
<br/><br/><br/><img alt=""{R \over 2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215371897311958.png""/><br/><img alt=""{R \over 4}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215401854147053.png""/><br/><img alt=""{R \over {2\sqrt 2 }}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215451413323469.png""/><br/>None of these",1489,0,,False,False,"<div style=""text-align:justify"">Inside a hollow uniform sphere of inner radius[ EXP] R [/EXP] a uniform rod of length <img alt=""R\sqrt 2 "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215001890322702.png""/>is released from the state of rest as shown. The mass of the rod is same as that of the sphere. Assume friction to be absent everywhere. Horizontal displacement of sphere with respect to earth in the time in which the rod becomes horizontal, is :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510221525phpkR83xVimage.png"" style=""width:200px""/></div>
<img alt=""{R \over 2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215371897311958.png""/><br/><img alt=""{R \over 4}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215401854147053.png""/><br/><img alt=""{R \over {2\sqrt 2 }}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215451413323469.png""/><br/>None of these","<div style=""text-align:justify"">Inside a hollow uniform sphere of inner radius[ EXP] R [/EXP] a uniform rod of length <img alt=""R\sqrt 2 "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215001890322702.png""/>is released from the state of rest as shown. The mass of the rod is same as that of the sphere. Assume friction to be absent everywhere. Horizontal displacement of sphere with respect to earth in the time in which the rod becomes horizontal, is :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510221525phpkR83xVimage.png"" style=""width:200px""/></div>
<img alt=""{R \over 2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215371897311958.png""/><br/><img alt=""{R \over 4}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215401854147053.png""/><br/><img alt=""{R \over {2\sqrt 2 }}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215451413323469.png""/><br/>None of these","[""R""]","<div style=""text-align:justify"">Inside a hollow uniform sphere of inner radius[EXP] R [/EXP] a uniform rod of length <img alt=""R\sqrt 2 "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215001890322702.png""/>is released from the state of rest as shown. The mass of the rod is same as that of the sphere. Assume friction to be absent everywhere. Horizontal displacement of sphere with respect to earth in the time in which the rod becomes horizontal, is :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510221525phpkR83xVimage.png"" style=""width:200px""/></div>
<img alt=""{R \over 2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215371897311958.png""/><br/><img alt=""{R \over 4}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215401854147053.png""/><br/><img alt=""{R \over {2\sqrt 2 }}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15102215451413323469.png""/><br/>None of these"
" Main reason of water bloom in rivers, lakes, sea
etc. is :-<br/><br/><br/>E. coli and Diatoms<br/>Cyanobacteria and dinoflagelates<br/>Eichornia<br/>Fishes and mosquito larva",1659,0,,False,False,"<div>Main reason of water bloom in rivers, lakes, sea etc. is :-<br/><br/><br/>E. coli and Diatoms<br/>Cyanobacteria and dinoflagelates<br/>Eichornia<br/>Fishes and mosquito larva</div>","<div>Main reason of water bloom in rivers, lakes, sea etc. is :-<br/><br/><br/>E. coli and Diatoms<br/>Cyanobacteria and dinoflagelates<br/>Eichornia<br/>Fishes and mosquito larva</div>","[""E. coli"", ""Diatoms"", ""Cyanobacteria"", ""Dinoflagelates"", ""Eichornia""]","<div>Main reason of water bloom in rivers, lakes, sea etc. is :-<br/><br/><br/>[NAME]E. coli[/NAME] and [NAME]Diatoms[/NAME]<br/>[NAME]Cyanobacteria[/NAME] and dinoflagelates<br/>[NAME]Eichornia[/NAME]<br/>Fishes and mosquito larva</div>"
" <div align=""justify"">A particle fall from height h on a static horizontal plane rebounds. If e is coefficient of restitution then before coming to rest the total distance travelled during rebounds will be:-</div><br/><br/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0891259006417.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image091586856393.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image093158349905.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image095244699033.png"" style=""vertical-align: middle""/>",1860,0,,False,False,"<div align=""justify"">A particle fall from height [EXP]h[/EXP] on a static horizontal plane rebounds. If [EXP]e[/EXP] is coefficient of restitution then before coming to rest the total distance travelled during rebounds will be:-</div><br/><br/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0891259006417.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image091586856393.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image093158349905.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image095244699033.png"" style=""vertical-align: middle""/>",,"[""coefficient of restitution""]","<div align=""justify"">A particle fall from height [EXP]h[/EXP] on a static horizontal plane rebounds. If [EXP]e[/EXP] is [NAME]coefficient of restitution[/NAME] then before coming to rest the total distance travelled during rebounds will be:-</div><br/><br/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0891259006417.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image091586856393.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image093158349905.png"" style=""vertical-align: middle""/><br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image095244699033.png"" style=""vertical-align: middle""/>"
 The concept of welfare state is included in which part of the Indian Constitution?<br/><br/><br/>The Preamble of the Constitution<br/>Fundamental Rights<br/>Directive Principals of the State Policy<br/>4 schedule of the Constitution,4405,0,,False,False,The concept of welfare state is included in which part of the Indian Constitution?<br/><br/><br/>The Preamble of the Constitution<br/>Fundamental Rights<br/>Directive Principals of the State Policy<br/>4 schedule of the Constitution,The concept of welfare state is included in which part of the Indian Constitution?<br/><br/><br/>The Preamble of the Constitution<br/>Fundamental Rights<br/>Directive Principals of the State Policy<br/>4 schedule of the Constitution,"[""Indian Constitution"", ""Preamble"", ""Fundamental Rights"", ""Directive Principles of State Policy"", ""4 schedule of the Constitution""]",The concept of welfare state is included in which part of the [NAME]Indian Constitution[/NAME]?<br/><br/><br/>The Preamble of the Constitution<br/>Fundamental Rights<br/>Directive Principals of the State Policy<br/>4 schedule of the Constitution
" <span style=""font-weight: bold;"">Statement-1 : </span>Comprissibility factor Z = 1 for ideal gas.<br/><span style=""font-weight: bold;"">Statement-2 : </span>PV = nRT is ideal gas equation.<br/><br/><br/><br/>Statement–1 is true, Statement–2 is true; Statement–2 is not the correct explanation of Statement–1.<br/>Statement–1 is false, Statement–2 is true.<br/>Statement–1 is true, Statement–2 is false.<br/>Statement–1 is true, Statement–2 is true; Statement–2 is the correct explanation of Statement–1.",4840,0,,False,False,"<span style=""font-weight: bold;"">Statement-1 : </span>Comprissibility factor[EXP] Z = 1 [/EXP]for ideal gas.<br/><span style=""font-weight: bold;"">Statement-2 : </span>[EXP]PV = nRT[/EXP] is ideal gas equation.<br/><br/><br/><br/>Statement–1 is true, Statement–2 is true; Statement–2 is not the correct explanation of Statement–1.<br/>Statement–1 is false, Statement–2 is true.<br/>Statement–1 is true, Statement–2 is false.<br/>Statement–1 is true, Statement–2 is true; Statement–2 is the correct explanation of Statement–1.","<span style=""font-weight: bold;"">Statement-1 : </span>Comprissibility factor[EXP] Z = 1 [/EXP]for ideal gas.<br/><span style=""font-weight: bold;"">Statement-2 : </span>[EXP]PV = nRT[/EXP] is ideal gas equation.<br/><br/><br/><br/>Statement–1 is true, Statement–2 is true; Statement–2 is not the correct explanation of Statement–1.<br/>Statement–1 is false, Statement–2 is true.<br/>Statement–1 is true, Statement–2 is false.<br/>Statement–1 is true, Statement–2 is true; Statement–2 is the correct explanation of Statement–1.","[""ideal gas equation""]","<span style=""font-weight: bold;"">Statement-1 : </span>Comprissibility factor[EXP] Z = 1 [/EXP]for ideal gas.<br/><span style=""font-weight: bold;"">Statement-2 : </span>[EXP]PV = nRT[/EXP] is [NAME]ideal gas equation[/NAME].<br/><br/><br/><br/>Statement–1 is true, Statement–2 is true; Statement–2 is not the correct explanation of Statement–1.<br/>Statement–1 is false, Statement–2 is true.<br/>Statement–1 is true, Statement–2 is false.<br/>Statement–1 is true, Statement–2 is true; Statement–2 is the correct explanation of Statement–1."
"<div style=""text-align:justify"">The body moves along the x-axis. At time t = 0, the velocity of particle is +5.0 m/s. The acceleration of particle in different time interval is given as:</div>
<div style=""text-align:center""><span style=""color:#000000""><img alt=""a = \left\{ {\begin{array}{*{20}{c}} {\begin{array}{*{20}{c}} { - 2m/{s^2}}\\[0.9em] { - 4m/{s^2}}\\[0.9em] { + 6m/{s^2}} \end{array}}&amp;{\begin{array}{*{20}{c}} {0s \leqslant t \leqslant 3s}\\[0.9em] {3s &lt; t \leqslant 6s}\\[0.9em] {6s &lt; t \leqslant 10s} \end{array}} \end{array}} \right."" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16645414321784509077.png""/></span></div>
<br/><br/><br/>The speed of particle at t = 2.5 s is zero.<br/>The speed of particle at t = 6 s is – 13 m/s.<br/>The speed of particle at t = 7 s is 7 m/s.<br/>The speed of particle at t = 10 s is 11 m/s.",266,0,,False,False,"<div style=""text-align:justify"">The body moves along the x-axis. At time [EXP]t = 0[/EXP], the velocity of particle is [EXP]+5.0 m/s[/EXP]. The acceleration of particle in different time interval is given as:</div>
<div style=""text-align:center""><span style=""color:#000000""><img alt=""[EXP]a = \left\{ {\begin{array}{*{20}{c}} {\begin{array}{*{20}{c}} { - 2m/{s^2}}\\[0.9em] { - 4m/{s^2}}\\[0.9em] { + 6m/{s^2}} \end{array}}&amp;{\begin{array}{*{20}{c}} {0s \leqslant t \leqslant 3s}\\[0.9em] {3s &lt; t \leqslant 6s}\\[0.9em] {6s &lt; t \leqslant 10s} \end{array}} \end{array}} \right."" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16645414321784509077.png""/></span></div>
<br/><br/><br/>The speed of particle at[EXP] t = 2.5 s[/EXP] is zero.<br/>The speed of particle at[EXP] t = 6 s[/EXP] is [EXP]– 13 m/s[/EXP].<br/>The speed of particle at [EXP]t = 7 s[/EXP] is [EXP]7 m/s[/EXP].<br/>The speed of particle at [EXP]t = 10 s [/EXP]is [EXP]11 m/s[/EXP].","<div style=""text-align:justify"">The body moves along the x-axis. At time [EXP]t = 0[/EXP], the velocity of particle is [EXP]+5.0 m/s[/EXP]. The acceleration of particle in different time interval is given as:</div>
<div style=""text-align:center""><span style=""color:#000000""><img alt=""[EXP]a = \left\{ {\begin{array}{*{20}{c}} {\begin{array}{*{20}{c}} { - 2m/{s^2}}\\[0.9em] { - 4m/{s^2}}\\[0.9em] { + 6m/{s^2}} \end{array}}&amp;{\begin{array}{*{20}{c}} {0s \leqslant t \leqslant 3s}\\[0.9em] {3s &lt; t \leqslant 6s}\\[0.9em] {6s &lt; t \leqslant 10s} \end{array}} \end{array}} \right."" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16645414321784509077.png""/></span></div>
<br/><br/><br/>The speed of particle at[EXP] t = 2.5 s[/EXP] is zero.<br/>The speed of particle at[EXP] t = 6 s[/EXP] is [EXP]– 13 m/s[/EXP].<br/>The speed of particle at [EXP]t = 7 s[/EXP] is [EXP]7 m/s[/EXP].<br/>The speed of particle at [EXP]t = 10 s [/EXP]is [EXP]11 m/s[/EXP].","[""x-axis""]","<div style=""text-align:justify"">The body moves along the [NAME]x-axis[/NAME]. At time [EXP]t = 0[/EXP], the velocity of particle is [EXP]+5.0 m/s[/EXP]. The acceleration of particle in different time interval is given as:</div>
<div style=""text-align:center""><span style=""color:#000000""><img alt=""a = \left\{ {\begin{array}{*{20}{c}} {\begin{array}{*{20}{c}} { - 2m/{s^2}}\\[0.9em] { - 4m/{s^2}}\\[0.9em] { + 6m/{s^2}} \end{array}}&amp;{\begin{array}{*{20}{c}} {0s \leqslant t \leqslant 3s}\\[0.9em] {3s &lt; t \leqslant 6s}\\[0.9em] {6s &lt; t \leqslant 10s} \end{array}} \end{array}} \right."" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/16645414321784509077.png""/></span></div>
<br/><br/><br/>The speed of particle at[EXP] t = 2.5 s[/EXP] is zero.<br/>The speed of particle at[EXP] t = 6 s[/EXP] is [EXP]– 13 m/s[/EXP].<br/>The speed of particle at [EXP]t = 7 s[/EXP] is [EXP]7 m/s[/EXP].<br/>The speed of particle at [EXP]t = 10 s [/EXP]is [EXP]11 m/s[/EXP]."
" <div align=""justify"">The variation of potential    
with distance R from a
fixed point is as shown in
the figure. The electric
field at  R = 5 m is:-<br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image095449005663.png"" style=""vertical-align: middle""/><br/></div><br/><br/><br/>2.5 V/m<br/>–2.5 V/m<br/>(2/5) V/m<br/>–(2/5) V/m",2105,0,,False,False,"<div align=""justify"">The variation of potential with distance [EXP]R[/EXP] from a fixed point is as shown in the figure. The electric field at [EXP]R = 5 m[/EXP] is:-<br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image095449005663.png"" style=""vertical-align: middle""/><br/></div><br/><br/><br/>[EXP]2.5 V/m[/EXP]<br/>[EXP]–2.5 V/m[/EXP]<br/>[EXP](2/5) V/m[/EXP]<br/>[EXP]–(2/5) V/m[/EXP]",,"[""electric field""]","<div align=""justify"">The variation of potential with distance [EXP]R[/EXP] from a fixed point is as shown in the figure. The [NAME]electric field[/NAME] at [EXP]R = 5 m[/EXP] is:-<br/><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image095449005663.png"" style=""vertical-align: middle""/><br/></div><br/><br/><br/>[EXP]2.5 V/m[/EXP]<br/>[EXP]–2.5 V/m[/EXP]<br/>[EXP](2/5) V/m[/EXP]<br/>[EXP]–(2/5) V/m[/EXP]"
"Four molecules have speed u, 4u, 10 u, and 15u. The ratio of their rms speed to average speed will be :-<br/><br/><br/><img alt=""\sqrt {\frac{{66}}{{56}}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15078094381753961781.png""/><br/><img alt=""\sqrt {\frac{{342}}{{225}}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15078094461648670791.png""/><br/><img alt=""\sqrt {\frac{{3\pi }}{8}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15078094541673835370.png""/><br/>None of these",2763,0,,False,False,"Four molecules have speed [EXP]u[/EXP], [EXP]4u[/EXP], [EXP]10 u[/EXP], and [EXP]15u[/EXP]. The ratio of their rms speed to average speed will be :-<br/><br/><br/><img alt=""[EXP]\sqrt {\frac{{66}}{{56}}} [/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15078094381753961781.png""/><br/><img alt=""[EXP]\sqrt {\frac{{342}}{{225}}}[EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15078094461648670791.png""/><br/><img alt=""[EXP]\sqrt {\frac{{3\pi }}{8}}[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15078094541673835370.png""/><br/>None of these",,"[""None""]","Four molecules have speed [EXP]u[/EXP], [EXP]4u[/EXP], [EXP]10 u[/EXP], and [EXP]15u[/EXP]. The ratio of their rms speed to average speed will be :-<br/><br/><br/><img alt=""\sqrt {\frac{{66}}{{56}}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15078094381753961781.png""/><br/><img alt=""\sqrt {\frac{{342}}{{225}}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15078094461648670791.png""/><br/><img alt=""\sqrt {\frac{{3\pi }}{8}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15078094541673835370.png""/><br/>None of these"
"<div style=""text-align:justify"">In the circuit shown below, find the decrease in power dissipated in 2Ω resistance after switch is closed. The battery is ideal :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509335136phpYlGSCkimage.png"" style=""height:136.989px; width:163.977px""/></div>
<br/><br/><br/>8.34 W<br/>21.21 W<br/>3.68 W<br/>14.72 W",872,0,,False,False,"<div style=""text-align:justify"">In the circuit shown below, find the decrease in power dissipated in [EXP]2Ω[/EXP] resistance after switch is closed. The battery is ideal :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509335136phpYlGSCkimage.png"" style=""height:136.989px; width:163.977px""/></div>
<br/><br/><br/>[EXP]8.34 W[/EXP]<br/>[EXP]21.21 W[/EXP]<br/>[EXP]3.68 W[/EXP]<br/>[EXP]14.72 W[/EXP]",,"[""Ohm""]","<div style=""text-align:justify"">In the circuit shown below, find the decrease in power dissipated in [EXP]2Ω[/EXP] resistance after switch is closed. The battery is ideal :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509335136phpYlGSCkimage.png"" style=""height:136.989px; width:163.977px""/></div>
<br/><br/><br/>[EXP]8.34 W[/EXP]<br/>[EXP]21.21 W[/EXP]<br/>[EXP]3.68 W[/EXP]<br/>[EXP]14.72 W[/EXP]"
 Both dative and covalent bond is present in :-<br/><br/><br/>BF<sub>3</sub> . NH<sub>3</sub><br/>CH<sub>2</sub>Cl<sub>2</sub><br/>C<sub>2</sub>H<sub>4</sub><br/>CH<sub>3</sub>NH<sub>2</sub>,2507,0,,False,False,"
Both dative and covalent bond is present in :-<br/><br/><br/>[EXP]BF<sub>3</sub> . NH<sub>3</sub>[/EXP]<br/>[EXP]CH<sub>2</sub>Cl<sub>2</sub>[/EXP]<br/>[EXP]C<sub>2</sub>H<sub>4</sub>[/EXP]<br/>[EXP]CH<sub>3</sub>NH<sub>2</sub>[/EXP]
","
Both dative and covalent bond is present in :-<br/><br/><br/>[EXP]BF<sub>3</sub> . NH<sub>3</sub>[/EXP]<br/>[EXP]CH<sub>2</sub>Cl<sub>2</sub>[/EXP]<br/>[EXP]C<sub>2</sub>H<sub>4</sub>[/EXP]<br/>[EXP]CH<sub>3</sub>NH<sub>2</sub>[/EXP]
","[""dative bond"", ""covalent bond""]","
Both dative and [NAME]covalent bond[/NAME] is present in :-<br/><br/><br/>[EXP]BF<sub>3</sub> . NH<sub>3</sub>[/EXP]<br/>[EXP]CH<sub>2</sub>Cl<sub>2</sub>[/EXP]<br/>[EXP]C<sub>2</sub>H<sub>4</sub>[/EXP]<br/>[EXP]CH<sub>3</sub>NH<sub>2</sub>[/EXP]
"
" <div align=""justify"">A bag X contains 3 white balls and 2 black balls and another bag Y contains 2 white balls and 4 black balls. A bag and a ball out of it are picked at random. What is the probability that the ball is white?</div><br/><br/><br/>7/15<br/>2/16<br/>3/15<br/>2/15",2314,0,,False,False,"<div align=""justify"">A bag X contains 3 white balls and 2 black balls and another bag Y contains 2 white balls and 4 black balls. A bag and a ball out of it are picked at random. What is the probability that the ball is white?</div><br/><br/><br/>7/15<br/>2/16<br/>3/15<br/>2/15","<div align=""justify"">A bag X contains 3 white balls and 2 black balls and another bag Y contains 2 white balls and 4 black balls. A bag and a ball out of it are picked at random. What is the probability that the ball is white?</div><br/><br/><br/>7/15<br/>2/16<br/>3/15<br/>2/15","[""X"", ""Y""]","<div align=""justify"">A bag [EXP]X[/EXP] contains 3 white balls and 2 black balls and another bag [EXP]Y [/EXP]contains 2 white balls and 4 black balls. A bag and a ball out of it are picked at random. What is the probability that the ball is white?</div><br/><br/><br/>7/15<br/>2/16<br/>3/15<br/>2/15"
"<div style=""text-align:justify"">We have a parallel plate capacitor made of two conducting, circular sheets of radius 2R each. They are kept at a small separation d between them. Suppose, we insert a circular shape dielectric of radius R and thickness d, between the gap with its centre coinciding with the plate centres the dielectric constant is k. The correct statement is/are :</div>
<br/><br/><br/>Capacitance of the capacitor is <img alt=""\frac{{\left( {k + 3} \right){ \in _0}\pi {R^2}}}{d}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15081490501231981989.png""/><br/>Capacitance of the capacitor is <img alt=""\frac{{k{ \in _0}\pi \left( {4{R^2}} \right)}}{d}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508149064963714619.png""/><br/><div style=""text-align:justify"">Ratio of electric field in the region with dielectric &amp; without dielectric is 1</div>
<br/><div style=""text-align:justify"">Ratio of electric field in the region with dielectric &amp; without dielectric is 1 : k</div>
",706,0,,False,False,"<div style=""text-align:justify"">We have a parallel plate capacitor made of two conducting, circular sheets of radius [EXP]2R[/EXP] each. They are kept at a small separation [EXP]d[/EXP] between them. Suppose, we insert a circular shape dielectric of radius [EXP]R[/EXP] and thickness [EXP]d[/EXP], between the gap with its centre coinciding with the plate centres the dielectric constant is [EXP]k[/EXP]. The correct statement is/are :</div>
<br/><br/><br/>Capacitance of the capacitor is <img alt=""\frac{{\left( {k + 3} \right){ \in _0}\pi {R^2}}}{d}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15081490501231981989.png""/><br/>Capacitance of the capacitor is <img alt=""\frac{{k{ \in _0}\pi \left( {4{R^2}} \right)}}{d}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508149064963714619.png""/><br/><div style=""text-align:justify"">Ratio of electric field in the region with dielectric &amp; without dielectric is 1</div>
<br/><div style=""text-align:justify"">Ratio of electric field in the region with dielectric &amp; without dielectric is [EXP]1 : k[/EXP]</div>","<div style=""text-align:justify"">We have a parallel plate capacitor made of two conducting, circular sheets of radius [EXP]2R[/EXP] each. They are kept at a small separation [EXP]d[/EXP] between them. Suppose, we insert a circular shape dielectric of radius [EXP]R[/EXP] and thickness [EXP]d[/EXP], between the gap with its centre coinciding with the plate centres the dielectric constant is [EXP]k[/EXP]. The correct statement is/are :</div>
<br/><br/><br/>Capacitance of the capacitor is <img alt=""\frac{{\left( {k + 3} \right){ \in _0}\pi {R^2}}}{d}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15081490501231981989.png""/><br/>Capacitance of the capacitor is <img alt=""\frac{{k{ \in _0}\pi \left( {4{R^2}} \right)}}{d}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508149064963714619.png""/><br/><div style=""text-align:justify"">Ratio of electric field in the region with dielectric &amp; without dielectric is 1</div>
<br/><div style=""text-align:justify"">Ratio of electric field in the region with dielectric &amp; without dielectric is [EXP]1 : k[/EXP]</div>","[""Capacitor"", ""dielectric"", ""electric field""]","<div style=""text-align:justify"">We have a parallel plate capacitor made of two conducting, circular sheets of radius [EXP]2R[/EXP] each. They are kept at a small separation [EXP]d[/EXP] between them. Suppose, we insert a circular shape [NAME]dielectric[/NAME] of radius [EXP]R[/EXP] and thickness [EXP]d[/EXP], between the gap with its centre coinciding with the plate centres the [NAME]dielectric[/NAME] constant is [EXP]k[/EXP]. The correct statement is/are :</div>
<br/><br/><br/>Capacitance of the capacitor is <img alt=""\frac{{\left( {k + 3} \right){ \in _0}\pi {R^2}}}{d}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15081490501231981989.png""/><br/>Capacitance of the capacitor is <img alt=""\frac{{k{ \in _0}\pi \left( {4{R^2}} \right)}}{d}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508149064963714619.png""/><br/><div style=""text-align:justify"">Ratio of [NAME]electric field[/NAME] in the region with [NAME]dielectric[/NAME] &amp; without [NAME]dielectric[/NAME] is 1</div>
<br/><div style=""text-align:justify"">Ratio of [NAME]electric field[/NAME] in the region with [NAME]dielectric[/NAME] &amp; without [NAME]dielectric[/NAME] is [EXP]1 : k[/EXP]</div>"
